# Kernel-level ECDSA timing (CLOCK_MONOTONIC_RAW)
# idx|gen_ns|del_ns|keygen_ns(gen-del)
450|65029010|14134271|50894739
451|57054114|19562188|37491926
452|108655313|18465885|90189428
453|52051979|18275938|33776041
454|81648125|15937969|65710156
455|64904271|25150156|39754115
456|51424063|22084844|29339219
457|133295469|26218125|107077344
458|93985781|14569948|79415833
459|147450000|28262500|119187500
460|89564010|26450573|63113437
461|97931719|15220625|82711094
462|71331823|13800261|57531562
463|85960833|23103438|62857395
464|52255937|18952865|33303072
465|63203906|21888282|41315624
466|43233386|17573229|25660157
467|38801146|16341563|22459583
468|83452136|19416562|64035574
469|66222187|21181094|45041093
470|59399688|24074687|35325001
471|58333125|25505677|32827448
472|86171667|19304375|66867292
473|58442448|21722813|36719635
474|51249687|20318750|30930937
475|57806719|19759531|38047188
476|98252292|15694375|82557917
477|85083125|20204739|64878386
478|85060625|25670938|59389687
479|48320937|15795937|32525000
480|49187864|17246042|31941822
481|170586563|18651041|151935522
482|68670781|18419583|50251198
483|43564219|16058281|27505938
484|79696614|26214063|53482551
485|83875938|17229948|66645990
486|73363750|20309062|53054688
487|60109844|20220416|39889428
488|48401719|18202708|30199011
489|61174166|15900886|45273280
490|54679688|18248177|36431511
491|99196407|28317552|70878855
492|117773229|18994011|98779218
493|63582500|16474739|47107761
494|67250417|28447188|38803229
495|76322240|21497812|54824428
496|101945364|22860260|79085104
497|91525521|16439271|75086250
498|89068593|24577761|64490832
499|113384479|27669375|85715104
